node-num latitude lontitude x-coordinate y-coordinate
80 132.376654694 34.365374667 258751.09002078048 3805788.0116845053
81 132.376315722 34.365760806 258721.017353186 3805831.651455381
82 132.376150861 34.366038694 258706.64994859995 3805862.8690532665
83 132.381231083 34.36630475 259174.7162541168 3805880.305143587
84 132.381213917 34.36620025 259172.83795994814 3805868.7540407293
85 132.381077611 34.366213861 259160.3388661627 3805870.5875911997
86 132.381003861 34.365658194 259151.96345786942 3805809.1242832583
87 132.380831111 34.366233528 259137.72095445404 3805873.354666533
88 132.380751806 34.365666861 259128.80290882092 3805810.6843684707
89 132.38043325 34.36081075 259085.58955190916 3805272.76739383
90 132.380787167 34.361038111 259118.7977982575 3805297.1471969443
91 132.375674722 34.363218361 258654.75810677913 3805551.1506411005
92 132.375 34.360238972 258584.139446431 3805222.2615235997
93 132.375398361 34.360491167 258621.5090397205 3805249.2886092504
94 132.375800389 34.360758333 258659.25870322133 3805277.967796733
95 132.375991306 34.361108444 258677.82590316804 3805316.350288631
96 132.375812889 34.362311306 258664.86491955572 3805450.204838623
97 132.375774806 34.362511194 258661.93530482196 3805472.4684636244
98 132.375154667 34.361683278 258602.51297787184 3805382.10606191
99 132.375386889 34.3613415 258622.89414621374 3805343.640888666
100 132.375 34.360999556 258586.32260484266 3805306.6309092273
101 132.375431 34.361260139 258626.7184265729 3805334.510762838
102 132.375 34.360884722 258585.99298590494 3805293.892704855
103 132.375503917 34.361098889 258632.96332166265 3805316.450226976
104 132.375 34.360719444 258585.51857446824 3805275.5588934054
105 132.375 34.36065325 258585.32857278964 3805268.216184172
106 132.375 34.36292025 258591.8358992175 3805519.6879822877
107 132.375 34.364251694 258595.65792862172 3805667.381275049
108 132.375 34.364552917 258596.5226343653 3805700.7950884905
109 132.380565139 34.366666667 259114.49639897543 3805922.033267579
110 132.3753545 34.366666667 258635.19913817922 3805934.423563789
111 132.379113083 34.366666667 258980.9300394759 3805925.4836084982
112 132.380981972 34.366666667 259152.83848162548 3805921.043152926
113 132.376096222 34.366114306 258701.84094924424 3805871.386492495
114 132.375 34.363073722 258592.2764477 3805536.7121930704
115 132.375024417 34.363082139 258594.54668895528 3805537.5877434835
